Quote,Start Location,End Location,Is Quote
"""Quel nom a cette jeune demoiselle en les pantoufles jolis?""",69843,69903,True
"""How nicely you do it! Let me see,--you said, 'Who is the young lady in
the pretty slippers,' didn't you?""",69933,70039,True
"""Oui, mademoiselle.""",70041,70061,True
"""It's my sister Margaret, and you knew it was! Do you think she is
pretty?""",70063,70138,True
"""Yes; she makes me think of the German girls, she looks so fresh and
quiet, and dances like a lady.""",70140,70240,True
"""Laurence boy""",70642,70656,True
"""Curly black hair; brown skin; big, black eyes; handsome nose; fine
teeth; small hands and feet; taller than I am; very polite, for a boy,
and altogether jolly. Wonder how old he is?""",70854,71037,True
"""I suppose you are going to college soon? I see you pegging away at your
books,--no, I mean studying hard""",71177,71283,True
"""pegging""",71316,71325,True
"""Not for a year or two; I won't go before seventeen, anyway.""",71421,71482,True
"""Aren't you but fifteen?""",71484,71509,True
"""Sixteen, next month.""",71587,71609,True
"""How I wish I was going to college! You don't look as if you liked it.""",71611,71682,True
"""I hate it! Nothing but grinding or skylarking. And I don't like the way
fellows do either, in this country.""",71684,71793,True
"""What do you like?""",71795,71814,True
"""To live in Italy, and to enjoy myself in my own way.""",71816,71870,True
"""That's a splendid polka! Why don't you
go and try it?""",72045,72100,True
"""If you will come too,""",72102,72125,True
"""I can't; for I told Meg I wouldn't, because--""",72167,72214,True
"""Because what?""",72284,72299,True
"""You won't tell?""",72325,72342,True
"""Never!""",72344,72352,True
"""Well, I have a bad trick of standing before the fire, and so I burn my
frocks, and I scorched this one; and, though it's nicely mended, it
shows, and Meg told me to keep still, so no one would see it. You may
laugh, if you want to; it is funny, I know.""",72354,72608,True
"""Never mind that; I'll tell you how we can manage: there's a long hall
out there, and we can dance grandly, and no one will see us. Please
come?""",72737,72882,True
"""I've sprained my ankle. That stupid high heel turned, and gave me a sad
wrench. It aches so, I can hardly stand, and I don't know how I'm ever
going to get home,""",73554,73717,True
"""I knew you'd hurt your feet with those silly shoes. I'm sorry. But I
don't see what you can do, except get a carriage, or stay here all
night,""",73757,73901,True
"""I can't have a carriage, without its costing ever so much. I dare say I
can't get one at all; for most people come in their own, and it's a long
way to the stable, and no one to send.""",73960,74145,True
"""I'll go.""",74147,74157,True
"""No, indeed! It's past nine, and dark as Egypt. I can't stop here, for
the house is full. Sallie has some girls staying with her. I'll rest
till Hannah comes, and then do the best I can.""",74159,74346,True
"""I'll ask Laurie; he will go,""",74348,74378,True
"""Mercy, no! Don't ask or tell any one. Get me my rubbers, and put these
slippers with our things. I can't dance any more; but as soon as supper
is over, watch for Hannah, and tell me the minute she comes.""",74435,74640,True
"""They are going out to supper now. I'll stay with you; I'd rather.""",74642,74709,True
"""No, dear, run along, and bring me some coffee. I'm so tired, I can't
stir!""",74711,74787,True
"""Oh, dear, what a blunderbuss I am!""",75164,75200,True
"""Can I help you?""",75269,75286,True
"""I was trying to get something for Meg, who is very tired, and some one
shook me; and here I am, in a nice state,""",75394,75508,True
