Quote,Start Location,End Location,Is Quote
"""who lay claim to know us, and who do their deeds of passion,
pride, ill-will, hatred, envy, bigotry, and selfishness
in our name, who are as strange to us and all our kith and
kin, as if they had never lived. Remember that, and charge
their doings on themselves, not us.""",84352,84624,True
"""Bob""",85523,85528,True
"""What has ever got your precious father then?""",86751,86797,True
"""And your brother, Tiny Tim! And Martha
warn't as late last Christmas Day by half-an-hour?""",86818,86909,True
"""Here's Martha, mother!""",86911,86935,True
"""Here's Martha, mother!""",86911,86935,True
"""Hurrah! There's such a goose, Martha!""",87030,87069,True
"""Why, bless your heart alive, my dear, how late you are!""",87071,87128,True
"""We'd a deal of work to finish up last night,""",87242,87288,True
"""and had to clear away this morning, mother!""",87307,87352,True
"""Well! Never mind so long as you are come,""",87354,87397,True
"""Sit ye down before the fire, my dear, and have
a warm, Lord bless ye!""",87418,87489,True
"""No, no! There's father coming,""",87491,87523,True
"""Hide, Martha,
hide!""",87584,87605,True
"""Why, where's our Martha?""",87947,87973,True
"""Not coming,""",88010,88023,True
"""Not coming!""",88045,88058,True
"""Not coming
upon Christmas Day!""",88201,88233,True
"""And how did little Tim behave?""",88525,88557,True
"""As good as gold,""",88679,88697,True
"""and better. Somehow he
gets thoughtful, sitting by himself so much, and thinks the
strangest things you ever heard. He told me, coming home,
that he hoped the people saw him in the church, because he
was a cripple, and it might be pleasant to them to remember
upon Christmas Day, who made lame beggars walk, and blind
men see.""",88708,89036,True
"""A Merry Christmas to us all, my dears. God bless us!""",93487,93541,True
"""God bless us every one!""",93576,93601,True
"""Spirit,""",77096,77105,True
"""tell me if Tiny Tim will live.""",93914,93946,True
"""I see a vacant seat,""",93948,93970,True
"""in the poor
chimney-corner, and a crutch without an owner, carefully
preserved. If these shadows remain unaltered by the Future,
the child will die.""",93990,94140,True
"""No, no,""",94142,94151,True
"""Oh, no, kind Spirit! say he
will be spared.""",94166,94211,True
"""If these shadows remain unaltered by the Future, none
other of my race,""",94213,94286,True
"""will find him here.
What then? If he be like to die, he had better do it, and
decrease the surplus population.""",94307,94419,True
"""Man,""",94531,94537,True
"""if man you be in heart, not
adamant, forbear that wicked cant until you have discovered
What the surplus is, and Where it is. Will you decide what
men shall live, what men shall die? It may be, that in the
sight of Heaven, you are more worthless and less fit to live
than millions like this poor man's child. Oh God! to hear
the Insect on the leaf pronouncing on the too much life
among his hungry brothers in the dust!""",94554,94975,True
"""Mr. Scrooge!""",95117,95131,True
"""I'll give you Mr. Scrooge, the
Founder of the Feast!""",95142,95196,True
"""The Founder of the Feast indeed!""",95198,95232,True
"""I wish I had him here. I'd give him a piece
of my mind to feast upon, and I hope he'd have a good
appetite for it.""",95265,95381,True
"""My dear,""",95383,95393,True
"""the children! Christmas Day.""",95404,95434,True
"""It should be Christmas Day, I am sure,""",95436,95476,True
"""on
which one drinks the health of such an odious, stingy, hard,
unfeeling man as Mr. Scrooge. You know he is, Robert!
Nobody knows it better than you do, poor fellow!""",95487,95655,True
"""My dear,""",95383,95393,True
"""Christmas Day.""",95691,95707,True
"""I'll drink his health for your sake and the Day's,""",95709,95761,True
"""not for his. Long life to him! A merry
Christmas and a happy new year! He'll be very merry and
very happy, I have no doubt!""",95782,95907,True
"""was much about as tall as
Peter;""",97126,97160,True
"""What place is this?""",100214,100235,True
"""A place where Miners live, who labour in the bowels of
the earth,""",100252,100319,True
"""But they know me. See!""",100341,100365,True
"""Ha, ha!""",103626,103635,True
"""Ha, ha, ha!""",103662,103675,True
"""Ha, ha! Ha, ha, ha, ha!""",104359,104384,True
"""He said that Christmas was a humbug, as I live!""",104386,104435,True
"""He believed it too!""",104460,104481,True
"""More shame for him, Fred!""",104483,104510,True
"""He's a comical old fellow,""",105076,105104,True
"""that's
the truth: and not so pleasant as he might be. However,
his offences carry their own punishment, and I have nothing
to say against him.""",105128,105272,True
"""I'm sure he is very rich, Fred,""",105274,105307,True
"""At least you always tell me so.""",105332,105365,True
"""What of that, my dear!""",105367,105391,True
"""His
wealth is of no use to him. He don't do any good with it.
He don't make himself comfortable with it. He hasn't the
satisfaction of thinking--ha, ha, ha!--that he is ever going
to benefit US with it.""",105415,105619,True
"""I have no patience with him,""",105621,105651,True
"""Oh, I have!""",105760,105773,True
"""I am sorry for
him; I couldn't be angry with him if I tried. Who suffers
by his ill whims! Himself, always. Here, he takes it into
his head to dislike us, and he won't come and dine with us.
What's the consequence? He don't lose much of a dinner.""",105797,106045,True
"""Indeed, I think he loses a very good dinner,""",106047,106093,True
"""Well! I'm very glad to hear it,""",106327,106360,True
"""because I haven't great faith in these young housekeepers.
What do you say, Topper?""",106384,106469,True
"""Do go on, Fred,""",106760,106777,True
"""He never finishes what he begins to say! He is such a
ridiculous fellow!""",106820,106894,True
"""I was only going to say,""",107098,107124,True
"""that
the consequence of his taking a dislike to us, and not making
merry with us, is, as I think, that he loses some pleasant
moments, which could do him no harm. I am sure he loses
pleasanter companions than he can find in his own thoughts,
either in his mouldy old office, or his dusty chambers. I
mean to give him the same chance every year, whether he
likes it or not, for I pity him. He may rail at Christmas
till he dies, but he can't help thinking better of it--I defy
him--if he finds me going there, in good temper, year after
year, and saying Uncle Scrooge, how are you? If it only
puts him in the vein to leave his poor clerk fifty pounds,
that's something; and I think I shook him yesterday.""",107148,107853,True
"""Here is a new game,""",111944,111965,True
"""One half hour,
Spirit, only one!""",111980,112014,True
"""I have found it out! I know what it is, Fred! I know
what it is!""",112962,113028,True
"""What is it?""",113030,113043,True
